# This file contains rotor information. It is automatically generated,
# please do not edit manually
0 Simulation 0 0 0 0 0
1 AN50 7.754e-5 -1.546e-8 9.601e-12 -5.800e-17 6.948e-22
2 AN60 3.128e-5 -6.620e-9 7.264e-12 -6.152e-17 5.760e-22
